Use this ID  in table People and Organisations	sub-events share the same  name of the recurrent event	general association  (in context of, related to, part of)			Places related to the event	Fill in only if  Palestine		Fill in either years or dates. If the event happened in a specific date or year, fill in only "From year/date" column				Free text	Free text (include ISBN, DOI  or bibl. references)	free-text: sources  and links (private)	free-text: sources  and links (public)	any other note (private)
Event  ID	Event name	Related  event 	Event  Type	Periodicity	City	District	Country	From year	To year	From date	To date	Description	Notes on related works	Sources private	Sources public	Other notes
L3020	اجتماع تأسيس رابطة للأدباء والمثقفين العرب		Private meeting	One-Off	Haifa		Israel			16/03/1961	16/03/1961				أبو حنا، حنا. خميرة الرماد، ص.112	
L1009	مؤتمر الأدباء		Conference	One-Off	Casablanca		Morocco	1984	1984					عوض, ريتا		
L1010	القدس مفتاح السلام		Conference	One-Off	London		United Kingdom	1999	1999					عوض, ريتا		
L1011	Jerusalem Arab Capital of Culture		Award	One-Off	Jerusalem		Israel	2009	2009			Dr. Rita Awad initiated the choice of Jerusalem and was a main contributor to the discussions about this choice since 2005.		عوض, ريتا		
L1012	Incident between عوض, ريتا and درويش, محمود		Incident	One-Off					1979			Dr. Rita Awad criticised M. Darwish in some articles which were published in شؤون فلسطينية and later in her book أدباء الحديث (1979). He tried to prevent the articles from being published. Her accusation was that he would have to become more cultured.		عوض, ريتا		
L1013	Arab Guest of Honour at Frankfurt Bookfair		Book Fair	One-Off	Frankfurt am Main		Germany	2004	2004					عوض, ريتا		
L1014	Arab Guest of Honour at London Bookfair		Book Fair	One-Off	London		United Kingdom	2008	2008					عوض, ريتا		
L1015	Arab Guest of Honour at New York Bookfair		Book Fair	One-Off	New York City		United States	2009	2009					عوض, ريتا		
L25	Ausstellung der Palästinensischen Befreiungsorganisation -PLO.		Cultural Exhibition	One-Off	Berlin		German Democratic Republic	1978	1978	05/06/1978	20/08/1978	Exhibition of Palestinian Folkloric Cultural Production Held 05/06/1978 - 20/08/1978	First exhibition on Palestinian folkloric literature held in Europe and outside Arab world	OneDrive link to article source: https://mysite.cloud.fu-berlin.de/personal/fu-berlin_marcelg/Documents/Research/Data/Fieldwork/Iraq_2019_2020/Afaq_Ar_scans/1978/Araq_Ar_19780301_P0155.png?csf=1&e=qe6jYq	Exhibition covered in Iraqi Journal Afaq Arabiya, March 1978, P155.	Brochure of event located in Bundesarchiv. See Fieldwork DE_Bundesarchiv excel sheet, Line 9
L26	رسم على الورق		Art exhibition	One-Off	Tunis		Tunisia	1979	1979			Two week exhibition held inجمعية صيانة في تونس القديمة				
L27	Baghdad International Poster Competition- Palestine: A Homeland Denied		Poster competition	One-Off	London		United Kingdom	1979	1979	01/01/1979	31/01/1979	International poster competition with Palestine as theme, funded by the Iraqi government held at the Iraqi Cultural Centre, London				
L28	مهرجان دمشق المسرحي		Theater Festival	One-Off	Damascus		Syria	1979	1979	01/05/1979	15/05/1979	Arab world theatre festival hosted in Damascus	Palestinian theatre mentioned; exact plays not stated in source		Afaq Arabiya, Nov. 1979: https://archive.alsharekh.org/Articles/175/16369/368625/2	
L29	Palestinian Cultural Festival in Basel		Cultural Festival	One-Off	Basel		Switzerland	1988	1988			Week-long festival of Palestinian Festival held on Basel, Switzerland.	Featured performances by Palestinian theatre troupe البلالين		Afaq Arabiya, Dec. 1988 https://archive.alsharekh.org/Articles/175/18434/416480/3	
L3021	Poetry Evening at Mahmoud Darwish's House		Private meeting	One-Off	Haifa		Israel	1968	1968			During his house arrest, Mahmoud Darwish's house was a literary meeting point - on this evening Fadwa Tuqan and Hanna Abu Hanna met			أبو حنا، حنا. خميرة الرماد، ص.132	
L3022	Meeting between Hanna Abu Hanna and Kamal Nasser		Private meeting	One-Off	Ramallah		Palestine	1967	1967			Kamal Nasser was hiding in the house of a priest in Ramallah when Hanna visited him			أبو حنا، حنا. خميرة الرماد، ص.133	
L3023	Hanna Abu Hanna rejects employment in the Arabic section of the israeli ministry of education		Private meeting	One-Off	Haifa		Israel	1975	1975						أبو حنا، حنا. خميرة الرماد، ص.141	
