Person (use one the names used in table People, you  can repeat the person name in several rows)			The organisation to which the person  is related (if applicable)	This field is alternative to column D! e.g. magazine title		Places related to the event	Fill in only if  Palestine		Fill in either years or dates. If the event happened in a specific date or year, fill in only "From year/date" column				Only for  educational events	free-text: sources  and links (public)	free-text: sources and links (private)	any other note (private)
Person name @en	Person  name @ar	Event type	Organisation or POI	Work title	Occupation	City	District	Country	From year	To year	From date	To date	Student of	Sources public	Sources private	Other notes
	كمال, محمد	Employment		الشباب	Editor	Jerusalem		Palestine	1934	1935						
	لورنس, أنطون	Employment		الصغير	Editor	Jerusalem		Palestine	1927	1929						
	محمود, عبد الرحيم	Education	مدرسة النجاح الوطنية			Nablus		Palestine	1929	1932			طوقان, إبراهيم			
	محمود, عبد الرحيم	Education	مدرسة الشرطة ببيت لحم			Bethlehem		Palestine	1933	1933						
	محمود, عبد الرحيم	Employment	سلك الشرطة بالناصرة		Policeman	Nazareth		Palestine	1934	1934						
	محمود, عبد الرحيم	Employment	مدرسة النجاح الوطنية		Teacher	Nablus		Palestine	1935	1937						
	محمود, عبد الرحيم	Education	الكلية العسكرية ببغداد			Baghdad		Iraq	1939	1940						
	محمود, عبد الرحيم	Employment	مدرسة العشار بالبصرة		Teacher	Basra		Iraq	1941	1941						
	محمود, عبد الرحيم	Employment	كلية النجاح الوطنية		Teacher	Nablus		Palestine	1942	1947						
	محمود, عبد الرحيم	Employment		صحيفة الاتحاد	Writer	Haifa		Palestine	1944	1948						
	محمود, عبد الرحيم	Employment		مجلة الغد	Writer	Jerusalem		Palestine	1944	1946						
	محمود, عبد الرحيم	Residence				Anabta	Tulkarm	Palestine	1913	1928						
	محمود, عبد الرحيم	Residence				Nablus		Palestine	1929	1932						
	محمود, عبد الرحيم	Residence				Damascus		Syria	1937	1938						
	محمود, عبد الرحيم	Residence				Baghdad		Iraq	1939	1940						
	محمود, عبد الرحيم	Residence				Basra		Iraq	1941	1941						
	محمود, عبد الرحيم	Residence				Baghdad		Iraq	1941	1942						
	محمود, عبد الرحيم	Residence				Nablus		Palestine	1943	1948						
	منصور, علي	Employment		فلسطين	Editor	Jaffa		Palestine	1921	1948						
	نصار, نجيب	Employment		الكرمل (Haifa)	Editor	Haifa		Palestine	1908	1942						
	الشيخ, عبد الرحيم	Employment	جامعة بيرزيت		Associate Professor	Bir Zeit	Ramallah	Palestine	2012							
	خوري, إلياس	Employment	شؤون الفلسطينية ١		Editor	Beirut		Lebanon	1975	1979						
	خوري, إلياس	Employment	الكرمل		Editorial Director				1981	1983						
	خوري, إلياس	Employment	السفير‎		Editor	Beirut		Lebanon	1981	1991						
	خوري, إلياس	Employment	الطريق		Editor				1981	1991						
	خوري, إلياس	Employment	Columbia University		Lecturer	New York City		United States	1980	1982						
	خوري, إلياس	Employment	New York University		Lecturer	New York City		United States	1984	1984						
	خوري, إلياس	Employment	American University of Beirut		Lecturer	Beirut		Lebanon	1986	1998						
	خوري, إلياس	Employment	الجامعة اللبنانية		Lecturer	Beirut		Lebanon	1990	1990						
	خوري, إلياس	Employment	النهار		Editor				1992	2009						
	خوري, إلياس	Employment	Beirut Theater			Beirut		Lebanon	1993	1998						
	خوري, إلياس	Employment	New York University						2001	2014						
	خوري, إلياس	Employment	Wissenschaftskolleg zu Berlin						2010	2011						
	خوري, إلياس	Employment	Palestinian Studies Magazine							2011						
	خوري, إلياس	Employment	Lebanese Armerican University							2015						
	خوري, إلياس	Employment	Wissenschaftskolleg zu Berlin							2017						
	خوري, إلياس	Education	École Pratique des Hautes Études			Paris		France	1970	1973						
	خوري, إلياس	Education	الجامعة اللبنانية			Beirut		Lebanon	1967	1970						
	خوري, إلياس	Membership	Palestine Liberation Organisation						1967	1976						
	الشيخ, عبد الرحيم	Employment	جامعة بيرزيت			Bir Zeit	Ramallah		2012							
	الشيخ, عبد الرحيم	Employment	Wissenschaftskolleg zu Berlin													
	الشيخ, عبد الرحيم	Employment	Columbia University													
	الشيخ, عبد الرحيم	Employment	مؤسسة عبد المحسن القطان													
	الشيخ, عبد الرحيم	Education	University of Utah													
	بسيسو, جيهان	Employment	Médecins Sans Frontières						2008							
	بسيسو, جيهان	Education	American University of Beirut													
	بسيسو, جيهان	Residence				Los Angeles			1984							
	بسيسو, جيهان	Residence				Amman										
	بسيسو, جيهان	Residence				Beirut			2003	2008						
	بسيسو, جيهان	Residence				Cairo										
	بركات, سليم	Residence				Damascus										
	بركات, سليم	Residence				Beirut										
	بركات, سليم	Residence						Cyprus								
	بركات, سليم	Residence						Sweden								
	روحانا, شادي	Education	Swarthmore College					United States								
	روحانا, شادي	Education	Universidad Nacional Autónoma de México			Mexico City		Mexico								
	روحانا, شادي	Employment	El Colegio de México, A.C.			Mexico City		Mexico								
	دانيال, هادي	Employment	Palestine Liberation Organisation		General Secretary	Tunis		Tunisia	1982	1987						
	دانيال, هادي	Employment		مجلة فلسطين الثورة	Correspondant	Tunis		Tunisia		1987						
